Series Name,Series Code,Country Name,Country Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Afghanistan,AFG,47.263,48.7627535833333,47.8453125,49.4945975,49.9253308333333,49.9620177703972,50.2496147435897,50.325,46.4524610013175,46.747007738581,50.9214,55.3775,57.2475,61.1434615416667,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Albania,ALB,140.154515875,121.86325,102.780051196172,99.8702544808992,98.1033770912698,90.4278938310708,83.8946041005291,94.9781198203843,103.9364433527,100.89495472583,108.184644599242,105.668673352632,105.47923411584,125.96083044733,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Algeria,DZA,79.6819,77.394975,72.06065,73.2763083333333,72.6466166666667,69.2924,64.5828,72.6474166666667,74.3859833333333,72.9378833333333,77.5359666666667,79.3684,80.5790166666667,100.691433333333,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Andorra,ADO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Angola,AGO,43.5302066666667,74.6063008333333,83.5413625,87.1591416666667,80.3680720555556,76.70614275,75.0333541666667,79.3281666666667,91.9057203405018,93.93475,95.467955421311,96.5182794791526,98.3024168556335,120.060701665019,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Antigua and Barbuda,ATG,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Argentina,ARG,3.06325666666667,2.90062916666667,2.92330081890332,2.9036575,3.05431333333333,3.09564884920635,3.14416455988456,3.71010683052328,3.8962951544705,4.11013957621326,4.53693436018746,5.45935266465704,8.07527599281334,9.23318552472429,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Armenia,ARM,573.353333333333,578.762954545455,533.450833333333,457.686940629159,416.040369724542,342.079116208671,305.969400261936,363.283285606061,373.660466738817,372.500882448711,401.763975626916,409.625749270293,415.919789204938,477.918306576099,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Aruba,ABW,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Australia,AUS,1.8405625,1.54191416666667,1.3597525,1.30947333333333,1.3279734405,1.1950725,1.19217833333333,1.28218881008452,1.09015948638677,0.969463201496735,0.965801030658708,1.03584309652054,1.10936329281692,1.33109026245502,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Azerbaijan,AZE,0.972164166666666,0.982146,0.9826955,0.945421,0.893445,0.858123808243728,0.821619578853046,0.803783333333333,0.80265,0.789686388888889,0.785645349462366,0.784541075268817,0.7843475,1.02456381855059,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,"Bahamas, The",BHS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Bahrain,BHR,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Bangladesh,BGD,57.888,58.15004,59.5126583333333,64.327475,68.9332333333333,68.874875,68.598275,69.0390666666667,69.6492916666667,74.1524,81.8626583333333,78.103235,77.6414083333333,77.9469083333333,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Barbados,BRB,2,2,2,2,2,2,2,2,2,2,2,2,2,2,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Belarus,BLR,1790.91666666667,2051.27083333333,2160.2575,2153.82,2144.56416666667,2146.07833333333,2136.3975,2793.04921788469,2978.51,4974.63333333333,8336.89833333333,8880.0525,10224.1025,15925.9883333333,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Belize,BLZ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Benin,BEN,696.988203611667,581.200313864167,528.284809305,527.46814284,522.890109610833,479.2667825875,447.805255560773,472.186290754893,495.277021572396,471.8661140917,510.52713590197,494.04003744699,494.414952864937,591.449507501328,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Bhutan,BTN,48.6103191666667,46.5832841666667,45.3164666666667,44.099975,45.3070083333333,41.3485333333333,43.5051833333333,48.4052666666667,45.7258121212121,46.6704666666667,53.4372333333333,58.5978454166667,61.0295144607843,64.1519444632786,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Bolivia,BOL,7.17,7.65916666666667,7.93626666666667,8.0660625,8.01161666666667,7.85124516125,7.23832069891667,7.02,7.01666666666667,6.9369625,6.91,6.91,6.91,6.91,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Bosnia and Herzegovina,BIH,2.07817042621667,1.73293220419167,1.57515702795,1.5727220196,1.55907195605833,1.429002741625,1.33519568048428,1.4078912383695,1.47673956845028,1.40693658566639,1.5222099744513,1.47305132263235,1.474169186794,1.76349164694686,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Botswana,BWA,6.32780068833333,4.94992860833333,4.69288739033333,5.11035443466667,5.83657119291667,6.13881920536636,6.82685666666667,7.15513769599502,6.79362115597508,6.83823583333333,7.61914166666667,8.39890833333333,8.97608333333334,10.1263416666667,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Brazil,BRA,2.92036301775519,3.07747511847801,2.92511944951586,2.43439003623188,2.17532666666667,1.94705833333333,1.83376666666667,1.99942817314426,1.75922671058718,1.67282875525659,1.95306861112487,2.15608915126311,2.35295196276677,3.32799033755475,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Brunei Darussalam,BRN,1.79058833333333,1.74218333333333,1.69022833333333,1.6643975,1.58893333333333,1.50710166666667,1.41716666666667,1.4545692733233,1.36350947368421,1.25791302014692,1.24956701649958,1.25116566976059,1.2670401230814,1.37491084459887,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Bulgaria,BGR,2.076975,1.73270166666667,1.57510891666667,1.57413333333333,1.55926666666667,1.42905,1.33711666666667,1.40669166666667,1.47739166666667,1.40645833333333,1.52205,1.47356666666667,1.47418333333333,1.7644,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Burkina Faso,BFA,696.988203611667,581.200313864167,528.284809305,527.46814284,522.890109610833,479.2667825875,447.805255560773,472.186290754893,495.277021572396,471.8661140917,510.52713590197,494.04003744699,494.414952864937,591.449507501328,..
